id	title
1	Bitter Stream
3	Mother
4	Black Pit
5	Tamaris and Her Group
6	Sailors of Cattaro
7	Stevedore
8	Peace on Earth
9	Alice in Wonderland
10	Dear Jane
11	Liliom
12	Camille
13	Alison's House
14	Siegfried
15	Romeo and Juliet
16	The Cradle Song
17	The Lady from Alfaqueque
18	The Green Cockatoo
19	The Open Door
20	The Living Corpse
21	Mademoiselle Bourrat
22	The Cherry Orchard
23	The Seagull
24	Katerina
25	Peter Pan
26	L'invitation Au Voyage
27	The Would-be Gentleman
28	Hedda Gabler
29	Improvisations in June
30	The First Stone
31	2 X 2 = 5
32	The Good Hope
33	Inheritors
34	Twelfth Night
35	La Locandiera (the Mistress of the Inn)
36	John Gabriel Borkman
37	The Three Sisters
38	The Master Builder
39	Saturday Night
40	In the Nick of Time
41	A Girl's Best Friend
42	The Star Bout
43	Wall Street Detective
44	Tess of Tennessee
45	The Oyster Man
46	Deadwood Dick's Last Shot
47	The Hired Girl's Millions
48	Shadowed by Three
49	The Girl of the Eagle Ranch
50	A Child Shall Lead Them
51	The Little Organ Grinder
52	Patsy in Politics
53	The Singing Girl from Killarney
54	Jessie Left the Village
55	A Chorus Girl's Luck in New York
56	Little Dolly Dimples
57	The Shoemaker
58	The Girl from Broadway
59	Our Friend Fritz
60	A Broken Man's Promise
61	The Girl Raffles
62	The Master Workman
63	Ruled Off the Turf
64	A Child of the Regiment
65	Old Lavender
66	A Square Deal
67	Bedford's Hope
68	The German Gypsy
69	A Crown of Thorns
70	How Baxter Butted in
71	"Tom, Dick and Harry"
72	Breaking Into Society
73	In New York Town
74	The Duke of Duluth
75	The Beauty Doctor
76	Marching Through Georgia
77	A Jolly Baron
78	My Tom-boy Girl
79	The Millionaire Detective
80	Nobody's Darling
81	The Confessions of a Wife
82	Robert Emmet
83	Common Sense Bracket
84	The Way to Kenmare
85	The Errand Boy
86	A Texas Ranger
87	Girls Will Be Girls
88	The Awakening of Mr. Pipp
89	A Son of Rest
90	The Good Old Summertime
91	The Light of Other Days
92	Lights of Home
93	Arrah-na-pogue
94	Running for Office
95	Spotless Town
96	In Posterland
97	Southern Enchantment
98	The Bold Sojer Boy
99	Jim Bludso of the Prairie Belle
100	The Peddler
101	Old Limerick Town
102	Foxy Grandpa
103	Garrett O'magh
104	Up York State
105	New England Folks
106	The Cipher Code
107	The Mormon Wife
108	A Romance of Athlone
109	The Village Postmaster
110	Lost River
111	The Parish Priest
112	The Carpetbagger
113	The Dairy Farm
114	A Young Wife
115	Mother Goose
116	Report for Duty
117	The Dawn of Freedom
118	Devil's Island
119	The Hoosier Doctor
120	Cumberland '61
121	Shall We Forgive Her?
122	The Alderman
123	The Widow Goldstein
124	The Cherry Pickers
125	A House of Mystery
126	When London Sleeps
127	The Sunshine of Paradise Alley
128	A Girl Wanted
129	Bonnie Scotland
130	The Sidewalks of New York
131	A Happy Little Home
132	Captain Paul
133	The Queen of Night
134	The Pace That Kills
135	Humanity
136	On the Bowery
137	Coon Hollow
138	Tennessee's Pardner
139	The Deacon's Daughter
140	Baron Rudolf
141	A Hole in the Ground
142	The Old Homestead
143	A Rag Baby
144	Fedora
145	Siberia
146	Nobody's Child
147	London
148	First American Dictator
149	To the Dance
150	With Red Fires
151	The Race of Life
152	Reunion
153	Pasquale Never Knew
154	Straw Hat
155	Fickle Women
156	Marching Song
157	Don't Look Now
158	The Wonder Bar
159	The Booster
160	Spring Song
161	Her First Affaire
162	The Mystery Man
163	Gertie
164	Henry-behave
165	A Puppet-play
166	The Brass Doorknob
167	El Cristo
168	The Dove
169	St. Simeon Stylites
170	The Younger Generation / Half an Hour
171	The Last Man in
172	Simon's Hour
173	The Cajun
174	Roads and Rain
175	The Valiant
176	May Night
177	The Weasel
178	Release
179	His Children
180	Brains
181	The Bells
182	Schemers
183	Three Pills in a Bottle
184	The Mistletoe Bough
185	Another Way Out
186	The Flag Station / the Lemonade Boy / the Monkey's Paw
187	The Little Stone House
188	The Will O' the Wisp
189	Torches
190	The Pot Boiler
191	The Crowsnest
192	"Punk, Or the Amateur Rehearsal"
193	The Clock
194	The Man Who Married a Dumb Wife
195	Under Conviction
196	A Thousand Generations and One
197	None Are So Blind
198	Thursday Evening
199	The Rut
200	The Revolt of the Mummies
201	Boccaccio's Untold Tale
202	The Trysting Place
204	Our Nell
205	Virtue(?)
206	Don't Tell
207	Lassie
208	My Golden Girl
211	Come Along
214	"Good-bye, Bill"
215	A Pair of Petticoats
216	Follow the Girl
217	Over the Top
218	All Aboard
219	Jotham Valley
220	Uday Shankar and His Hindu Ballet
221	Boy Meets Girl
222	The Milky Way
223	The Family
224	Counterattack
225	The Willow and I
226	What Big Ears!
227	Under This Roof
228	Lily of the Valley
229	Good Neighbor
230	Out of the Frying Pan
231	First Stop to Heaven
232	The Old Foolishness
233	Blind Alley
234	Awake and Sing!
236	Run Sheep Run
237	The Good
238	The Two Bouquets
239	There's Always a Breeze
240	The Cradle Will Rock
241	Something for Nothing
242	Work Is for Horses
244	Wedding Breakfast
245	Decordoba and His Ballet
246	Hayride
247	The Girl on the Via Flaminia
248	His and Hers
249	Escapade
250	At Home with Ethel Waters
251	Men of Distinction
252	On Borrowed Time
253	Be Your Age
255	Stalag 17
256	The High Ground
257	Four Twelves Are 48
258	Black Chiffon
259	Tobacco Road
260	Mr. Barry's Etchings
261	Love Me Long
262	The Traitor
263	Forward the Heart
264	Harvey
265	Pick-Up Girl
266	But Not Goodbye
267	Mrs. Kimball Presents
268	Take It as It Comes
269	Outrageous Fortune
270	The Snark Was a Boojum
271	Damaged Goods
272	Hitch Your Wagon
273	Cross-town
274	Thirsty Soil
275	Around the Corner
276	200 Were Chosen
277	Bright Honor
278	Parnell
279	Mainly for Lovers
280	The Illustrators' Show
281	Stick-in-the-mud
282	A Slight Case of Murder
283	Fly Away Home
285	Alley Cat
286	The Loves of Charles II
287	Louisiana
288	Singapore
289	The Passionate Pilgrim
290	The Stork Is Dead
291	On the Make
292	Broadway Boy
293	Take My Tip
294	Night Over Taos
295	When the Bough Breaks
296	Pillars of Society
297	"The Streets of New York, Or Poverty Is No Crime"
298	Did I Say No?
299	Unexpected Husband
300	The Bellamy Trial
301	Privilege Car
302	Pagan Lady
303	The Boundary Line
304	Remote Control
305	Brothers
306	The Song Writer
308	The Beggar's Opera
309	Cock Robin
310	Paradise
311	People Don't Do Such Things
312	The Squall
313	The Jeweled Tree
314	One Man's Woman
315	The Climax
316	Puppy Love
317	Down Stream
318	Engaged
319	Spooks
320	A Bit of Love
321	The Servant in the House
322	Pierrot the Prodigal
323	The Wild Duck
324	The Habitual Husband
325	Candida
326	Hedda Gabler
327	The Admiral
328	Expressing Willie
329	Macbeth
330	The New Englander
331	Neighbors
332	Queen Victoria
333	Zeno
334	Sweet Nell of Old Drury
335	The Rivals
336	The Inspector General
337	As You Like It
338	Anathema
339	The Chastening
340	Roger Bloomer
341	Why Not?
342	Hospitality
343	Malvaloca
344	The Torch Bearers
345	Plantation Revue
346	The Nest
347	Julius Caesar
348	Romeo and Juliet
349	We Girls
350	Sonya
351	The Broken Wing
352	Immodest Violet
353	Opportunity
354	The Storm
355	Those Who Walk in Darkness
357	Come-on Charlie
358	Luck in Pawn
359	The Net
360	The Big Chance
361	The Woman on the Index
362	The Man Who Stayed at Home
363	The Love Mill
364	Yes Or No
365	"Good Morning, Rosamond"
366	The Gay Lord Quex
367	The Land of the Free
368	Over the 'phone
369	What Happened to Jones
370	The Thirteenth Chair
372	"Rich Man, Poor Man"
373	Somebody's Luggage
374	Just a Woman
375	The Eternal Magdalene
376	What Money Can't Buy
377	Husband and Wife
378	Iolanthe
379	The Pirates of Penzance
380	The Sorcerer
381	The Mikado
382	Trial by Jury
383	H.M.S. Pinafore
384	The Yeomen of the Guard
385	The Law of the Land
386	Lonesome Like
387	The Last Toast
388	Uncle Sam's Money
389	The Worth of a Man
390	Today
391	The Smoldering Flame
392	Kiss Me Quick
393	Countess Julia
394	Countess Julia
396	The Lady from Oklahoma
397	The Spiritualist
398	The Stronger
399	Pariah
400	Never Say Die
401	The Point of View
402	Little Miss Brown
403	Just Like John
404	The Wild Duck
405	Power
406	"How Come, Lawd?"
407	Money Mad
408	Borderline
409	The Water Carrier
410	Truly Valiant
411	A Woman of the Soil
412	Birthday
413	Tomorrow's Harvest
414	When in Rome
415	Birthright
416	Peacock
417	Wolves
418	Bloody Laughter
419	Barbara's Wedding / The Father
420	Barbara's Wedding
421	The Father
422	The Good Companions
423	Topaze
424	Bird in Hand
425	Marigold
426	Insult
427	Mei Lan-fang
428	The Challenge of Youth
429	The Patriarch
430	Thunder in the Air
431	Great Scott
432	Decision
433	The Come-on Man
434	Hedda Gabler
435	Straight Thru the Door
436	The Phantom Lover
437	A Lady for a Night
438	Killers
439	Diversion
440	Fallen Angels
441	The Fanatics
442	Synthetic Sin
443	The Tightwad
444	Scalawag
445	Menace
446	Ballyhoo
447	The Judge's Husband
448	The Adorable Liar
449	Hush Money
450	The Right Age to Marry
451	"Don Q., Jr."
452	Magda
453	One of the Family
454	Courting
455	Lady of the Rose
456	The Loves of Lulu
457	"O, Nightingale"
458	Chauve-Souris [1925]
459	Badges
460	The Werewolf
461	Cheaper to Marry
462	Nancy Ann
463	The Outsider
464	The Strong
465	Gypsy Jim
466	For All of Us
467	What's Your Wife Doing?
468	Connie Goes Home
469	Thumbs Down
470	Give and Take
471	Whispering Wires
472	Chauve-Souris [1922]
473	Face Value
474	Ghost for Sale
475	Adelante
476	Awake and Sing!
478	On the Rocks
479	Professor Mamlock
480	Love in Humble Life
481	Clock on the Stairs
482	A Regular Fix
484	The Path of Flowers
485	Battle Hymn
486	The Great Catherine
487	The Great Catherine
488	In Heaven and Earth
489	Chalk Dust
490	Yeah Man
491	The Tree
492	Lady Windermere's Fan
493	Falstaff
494	The Yellow Jacket
495	Keep Shufflin'
497	Red Dust
498	The Banshee
499	The Wicked Age
500	Love in the Tropics
501	Africana [1927]
502	Katy Did
503	Sex
504	White Cargo
505	Square Crooks
506	Port O' London
507	Move on
508	Open House
511	Love for Love
512	Charley's Aunt
513	The Big Mogul
514	The Dunce Boy
515	Sharlee
516	Ginger
517	Virginia Runs Away
518	Go-go
519	Liza
520	Dolly Jordan
521	Shuffle Along [1921]
522	Naughty Naught '00
523	Sweet Land of Liberty
524	Houseparty
525	Becky Sharp
526	Ned Wayburn's Gambols
527	Macbeth
528	Cross My Heart
529	The Merry Wives of Windsor
530	Sidewalks of New York
531	Honeymoon Lane
532	"King Henry IV, Part I"
533	The School for Scandal
534	Dearest Enemy
535	"Trelawny of the ""Wells"""
537	Natja
538	Peter Pan
540	Hassan
541	Lollipop
542	The Lullaby
543	The Clinging Vine
544	The Yankee Princess
545	Bulldog Drummond
546	The Wandering Jew
547	The Merry Widow
548	June Love
549	Mary
550	The Sweetheart Shop
551	The Girl in the Spotlight
552	Shavings
553	Angel Face
554	Roly-boly Eyes
555	Listen Lester
556	"Good Luck, Sam!"
557	Some One in the House
558	Josephine
562	Art and Opportunity
563	Hamilton
564	Mme. Sarah Bernhardt
565	Mme. Sarah Bernhardt
566	Mme. Sarah Bernhardt
567	Mme. Sarah Bernhardt
568	Mme. Sarah Bernhardt
569	Le Proces De Jeanne D'arc
570	Mme. Sarah Bernhardt
571	Mme. Sarah Bernhardt
572	Mme. Sarah Bernhardt
573	La Dame Aux Camelias
574	Camille
575	Mme. Sarah Bernhardt
576	Mme. Sarah Bernhardt
577	Mme. Sarah Bernhardt
578	L'Aiglon
579	Mme. Sarah Bernhardt
580	Disraeli
581	The Professor's Love Story
582	The Music Master
583	The Girl from Utah
584	The Hyphen
585	Fads and Fancies
586	90 in the Shade
587	The Debutante
588	The Crinoline Girl
589	The Laughing Husband
590	The New Henrietta
591	Rachel
592	The Marriage Market
593	The Sunshine Girl
594	Oh! Oh! Delphine
595	Kismet
596	The Siren
597	Dr. De Luxe
598	Chantecler
599	The Foolish Virgin
600	Henry of Navarre
601	The Scarlet Pimpernel
602	Our Miss Gibbs
603	The Arcadians
604	The Dollar Princess
605	The Gay Hussars
606	The Candy Shop
607	The Fair Co-ed
608	The Prima Donna
609	The Girls of Gottenberg
610	The Yankee Prince
611	The Talk of New York
612	The Hoyden
613	The Evangelist
614	Mlle. Modiste
615	The Alaskan
616	The Red Mill
617	La Belle Marseillaise
618	The Taming of the Shrew
619	The Merchant of Venice
620	Twelfth Night
621	Romeo and Juliet
622	Miss Dolly Dollars
623	Sergeant Brue
624	London Assurance
625	The Prince Consort
626	Hamlet
627	When We Dead Awake
628	Love and the Man
629	The Brighter Side
630	The Middleman
631	Lucky Durham
632	The Winter's Tale
633	The Usurper
634	Much Ado About Nothing
635	A Madcap Princess
636	Yvette
637	A Venetian Romance
638	The Shepherd King
639	Olympe
640	Mam'selle Napoleon
641	The Light That Failed
642	The Rogers Brothers in London
643	The Blonde in Black
644	Mr. Bluebeard
645	The Altar of Friendship
646	Sherlock Holmes
647	The Rogers Brothers in Harvard
648	The Wild Rose
649	The Toreador
650	Quality Street
651	Charles I
652	Louis Xi
653	Nance Oldfield
654	The Bells
655	Waterloo
656	Madame Sans-gene
657	The Lyons Mail
658	The Rogers Brothers in Washington
659	The Strollers
660	The Land of Heart's Desire / in a Balcony
661	The Land of Heart's Desire / in a Balcony
662	The Land of Heart's Desire / in a Balcony
663	The Casino Girl
664	To Have and to Hold
665	When We Were Twenty-one
666	Sweet Nell of Old Drury
667	The Monks of Malabar
668	The Viceroy
669	Robin Hood
670	The Sunken Bell
671	The Amber Heart
672	Robespierre
673	The Cowboy and the Lady
674	The Elder Miss Blossom
675	Lord and Lady Algy
676	Cyrano de Bergerac
677	Colinette
678	The King's Musketeer
679	Nathan Hale
680	The Head of the Family
681	Worth a Million
682	The Christian
683	The Charlatan
684	His Last Appearance
685	A Virginia Courtship
686	An American Citizen
687	The Serenade
688	Spiritisme
689	Six Persons
690	When George IV Was King
691	The Hobby Horse
692	The Seats of the Mighty
693	The Sign of the Cross
694	The Countess Valeska
695	Izeyl
696	A Quiet Rubber
697	Two Old Cronies
698	The Notorious Mrs. Ebbsmith
699	An Enemy of the People
700	A Bunch of Violets
701	The Ballad Monger
702	The Red Lamp
703	The Girl from Brighton
704	Barry of Ballymore
705	Romeo and Juliet
706	The Taming of the Shrew
707	The Merchant of Venice
708	Hamlet
709	Twelfth Night
710	As You Like It
711	Ragged Robin
712	The Old Homestead
713	The Round Up
714	Our American Cousin
715	If I Were King
716	The Squaw Man
717	The Orchid
718	The Great Divide
719	The Girl of the Golden West
720	The Rose of the Rancho
721	The Lion and the Mouse
722	Salomy Jane
723	Mlle. Modiste
724	The Prince of Pilsen
725	Little Johnny Jones
726	Ben Hur
727	The Shepherd King
728	Richelieu
729	The Dagger and the Cross
730	Othello
731	Macbeth
732	King Lear
733	Julius Caesar
734	Cape Cod Folks
735	Mizpah
736	The Heir to the Hoorah
737	The Wizard of Oz
738	The Virginian
739	Way Down East
740	Love's Lottery
741	Siberia
742	Checkers
743	Two Little Sailor Boys
744	David Harum
745	A Chinese Honeymoon
746	The Toreador
747	The Best of Friends
748	Drink
749	The Suburban
750	The Ninety and Nine
751	Robin Hood
752	Quincy Adams Sawyer
753	Uncle Tom's Cabin
754	Barbara Frietchie
755	Quo Vadis
756	Monte Cristo
757	The Rebel
758	Woman and Wine
759	The Last of the Rohans
760	The Ragged Earl
761	Sporting Life
762	The White Heather
763	Straight from the Heart
764	Two Little Vagrants
765	Under the Polar Star
766	The Sporting Duchess
767	Cotton King
768	Robin Hood
769	Kenilworth
770	Bluebeard
771	Lurline
772	Lischen Et Fritzchen
773	The Desert Flower
774	The Devil's Auction
775	Les Noces De Jeannette
776	Goodbye Again
777	The Petrified Forest
778	Ziegfeld Nine O'clock Review
